TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2020,UHF34,101,3,Kingsbridge - Riverdale,"11.6 (6.5, 19.8)","8,000","11.8 (6.7, 20.0)"
2020,UHF34,102,3,Northeast Bronx,"24.6 (16.0, 35.9)","35,000*","24.5* (15.7, 36.1)"
2020,UHF34,103,3,Fordham - Bronx Pk,"21.5 (15.3, 29.4)","41,000","22.1 (15.4, 30.8)"
2020,UHF34,104,3,Pelham - Throgs Neck,"19.7 (13.8, 27.4)","45,000","20.0 (14.0, 27.9)"
2020,UHF34,201,3,Greenpoint,"8.6* (4.2, 16.9)","9,000*","8.5* (4.3, 16.2)"
2020,UHF34,202,3,Downtown - Heights - Slope,"8.3 (5.4, 12.6)","14,000","7.7 (5.0, 11.6)"
2020,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"18.5 (13.2, 25.2)","43,000","18.1 (13.0, 24.6)"
2020,UHF34,204,3,East New York,"23.6 (16.0, 33.4)","29,000","21.6 (14.0, 31.8)"
2020,UHF34,205,3,Sunset Park,"9.8* (5.3, 17.4)","10,000*","10.1* (5.2, 18.7)"
2020,UHF34,206,3,Borough Park,"8.9 (5.5, 14.0)","21,000","8.9 (5.6, 14.0)"
2020,UHF34,207,3,East Flatbush - Flatbush,"11.2 (6.8, 17.8)","24,000","10.6 (6.4, 16.9)"
2020,UHF34,208,3,Canarsie - Flatlands,"21.4 (13.4, 32.4)","31,000","20.3 (12.7, 31.0)"
2020,UHF34,209,3,Bensonhurst - Bay Ridge,"8.2* (4.5, 14.7)","14,000*","8.3* (4.5, 15.0)"
2020,UHF34,210,3,Coney Island - Sheepshead Bay,"9.0 (5.7, 14.0)","20,000","8.7 (5.6, 13.2)"
2020,UHF34,211,3,Williamsburg - Bushwick,"11.6 (7.1, 18.5)","17,000","11.2 (6.6, 18.4)"
2020,UHF34,301,3,Washington Heights,"16.6 (10.7, 24.8)","33,000","16.3 (10.5, 24.5)"
2020,UHF34,302,3,Central Harlem - Morningside Heights,"15.6 (10.1, 23.1)","19,000","15.9 (10.3, 23.8)"
2020,UHF34,303,3,East Harlem,"26.2 (17.6, 37.1)","21,000*","26.0* (16.8, 38.0)"
2020,UHF34,304,3,Upper West Side,"16.2 (10.2, 24.8)","34,000","18.2 (10.9, 28.9)"
2020,UHF34,401,3,Long Island City - Astoria,"14.5 (9.6, 21.3)","24,000","14.6 (9.5, 21.7)"
2020,UHF34,402,3,West Queens,"8.7 (5.6, 13.4)","32,000","8.5 (5.4, 13.0)"
2020,UHF34,403,3,Flushing - Clearview,"7.4* (3.6, 14.6)","17,000*","7.9* (3.8, 15.9)"
2020,UHF34,405,3,Ridgewood - Forest Hills,"12.1 (7.5, 18.9)","24,000","12.3 (7.5, 19.5)"
2020,UHF34,407,3,Southwest Queens,"10.1 (6.5, 15.3)","21,000","10.3 (6.6, 15.5)"
2020,UHF34,408,3,Jamaica,"10.1* (5.4, 18.2)","22,000*","10.2* (5.3, 18.6)"
2020,UHF34,409,3,Southeast Queens,"15.2 (9.1, 24.2)","25,000","16.4 (9.7, 26.3)"
2020,UHF34,410,3,Rockaways,"25.8* (13.4, 43.8)","20,000*","24.7* (11.6, 45.0)"
2020,UHF34,305307,3,Upper East Side-Gramercy,"11.3 (7.4, 16.8)","38,000","12.0 (7.7, 18.2)"
2020,UHF34,306308,3,Chelsea-Village  ,"13.7 (8.7, 20.8)","26,000","12.5 (7.9, 19.2)"
2020,UHF34,309310,3,Union Square-Lower Manhattan,"15.2 (10.5, 21.4)","32,000","15.3 (10.5, 21.8)"
2020,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"11.5 (7.2, 17.7)","16,000","11.1 (6.9, 17.2)"
2020,UHF34,501502,3,Northern SI,"14.0 (7.9, 23.6)","20,000","13.8 (7.5, 24.0)"
2020,UHF34,503504,3,Southern SI,"13.3 (8.8, 19.5)","29,000","13.1 (8.7, 19.3)"
2020,UHF34,105106107,3,South Bronx,"20.7 (16.3, 25.9)","79,000","20.6 (15.9, 26.2)"
2020,Borough,1,1,Bronx,"20.7 (17.7, 23.9)","215,000","21.0 (17.9, 24.4)"
2020,Borough,2,1,Brooklyn,"12.3 (10.6, 14.2)","238,000","12.2 (10.6, 14.1)"
2020,Borough,3,1,Manhattan,"15.4 (13.0, 18.1)","203,000","15.3 (12.9, 18.0)"
2020,Borough,4,1,Queens,"11.5 (9.6, 13.6)","203,000","11.5 (9.6, 13.6)"
2020,Borough,5,1,Staten Island,"13.8 (9.8, 19.1)","49,000","13.6 (9.6, 18.8)"
2020,Citywide,1,0,New York City,"14.1 (13.1, 15.3)","909,000","14.1 (13.1, 15.3)"
